ComEd Basic Electric Service Residential Purchased Energy Charge (PEC),ComEd Basic Electric Service Demand Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Non-Residential Electric Space Heating Purchased Energy Charge (PEC),Ameren Illinois Residential Residential BGS 1,Ameren Illinois Small Commercial Small Commercial BGS 2 - Primary,Ameren Illinois Small Commercial Small Commercial BGS 2 - Secondary,Ameren Illinois Small Commercial Small Commercial BGS 2 - High Voltage,DATE
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2047-10-01 01:00:00
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2047-11-01 01:00:00
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2047-12-01 01:00:00
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2048-01-01 01:00:00
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2048-02-01 01:00:00
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2048-03-01 01:00:00
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2048-04-01 01:00:00
0.1594321122833698,0.15972159492485138,0.15889599989041533,0.15475996597295605,0.1545009120671737,0.21054703824674934,0.21505080261221243,0.2080933086758493,2048-05-01 01:00:00
0.1469253472833399,0.1649085504932138,0.1637578731020994,0.15253574478198917,0.15090343389268795,0.2150243723660909,0.22003916850120267,0.21229762265039262,2048-06-01 01:00:00
0.1469253472833399,0.1649085504932138,0.1637578731020994,0.15253574478198917,0.15090343389268795,0.2150243723660909,0.22003916850120267,0.21229762265039262,2048-07-01 01:00:00
