ComEd Basic Electric Service Residential PJM Services Charge (PSC),ComEd Basic Electric Service Demand Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Non-Residential Electric Space Heating PJM Services Charge (PSC),Ameren Illinois Residential Residential Rider TS - DS1,Ameren Illinois Small Commercial Small Commercial Rider TS - DS2,DATE
0.018080366407292575,0.01804316400727757,0.01804316400727757,0.01804316400727757,0.022790374837007674,0.02290709890787582,2031-01-01 01:00:00
0.018080366407292575,0.01804316400727757,0.01804316400727757,0.01804316400727757,0.022790374837007674,0.02290709890787582,2031-02-01 01:00:00
0.018080366407292575,0.01804316400727757,0.01804316400727757,0.01804316400727757,0.022790374837007674,0.02290709890787582,2031-03-01 01:00:00
0.018080366407292575,0.01804316400727757,0.01804316400727757,0.01804316400727757,0.022790374837007674,0.02290709890787582,2031-04-01 01:00:00
0.018080366407292575,0.01804316400727757,0.01804316400727757,0.01804316400727757,0.022790374837007674,0.02290709890787582,2031-05-01 01:00:00
0.01864625607865386,0.018620713262107763,0.018620713262107763,0.018620713262107763,0.029502008911926697,0.029647914000511897,2031-06-01 01:00:00
0.01864625607865386,0.018620713262107763,0.018620713262107763,0.018620713262107763,0.029502008911926697,0.029647914000511897,2031-07-01 01:00:00
0.01864625607865386,0.018620713262107763,0.018620713262107763,0.018620713262107763,0.029502008911926697,0.029647914000511897,2031-08-01 01:00:00
0.018620713262107763,0.01858239903728861,0.01858239903728861,0.01858239903728861,0.029502008911926697,0.029647914000511897,2031-09-01 01:00:00
0.018620713262107763,0.01858239903728861,0.01858239903728861,0.01858239903728861,0.029502008911926697,0.029647914000511897,2031-10-01 01:00:00
0.018620713262107763,0.01858239903728861,0.01858239903728861,0.01858239903728861,0.029502008911926697,0.029647914000511897,2031-11-01 01:00:00
0.018620713262107763,0.01858239903728861,0.01858239903728861,0.01858239903728861,0.029502008911926697,0.029647914000511897,2031-12-01 01:00:00
0.018577153007556142,0.01853892841289039,0.01853892841289039,0.01853892841289039,0.023527021175398895,0.023647518082827303,2032-01-01 01:00:00
0.018577153007556142,0.01853892841289039,0.01853892841289039,0.01853892841289039,0.023527021175398895,0.023647518082827303,2032-02-01 01:00:00
